Number,User,Date Submitted,Country,Device,Browser,OS,"Prosím, pomôžte nám zlepšiť naše služby. Ako náročné bolo pre vás nakupovať cez Orange Eshop na škále 1-5?","Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
134,00000000,2020-02-16 19:56:23,Slovakia,desktop,Firefox 72.0,Windows 7,5,
135,00000000,2020-02-16 20:00:10,Slovakia,desktop,Chrome 80.0.3987,Windows 7,5,
136,00000000,2020-02-16 20:00:34,Slovakia,desktop,Firefox 72.0,Windows 10,2,
137,00000000,2020-02-16 20:45:28,Slovakia,desktop,Edge 18.18362,Windows 10,2,
138,00000000,2020-02-16 21:40:45,Slovakia,desktop,Edge 18.18362,Windows 10,1,lebo som nemal problem a všetkému som rozumel
139,00000000,2020-02-17 08:16:30,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,
140,00000000,2020-02-17 08:30:27,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,na stránke sa zle vypisujú údaje preskakujú tam písmenká
141,00000000,2020-02-17 09:11:32,Slovakia,desktop,Opera 66.0.3515,Windows 7,1,
142,00000000,2020-02-17 09:21:32,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
143,00000000,2020-02-17 10:03:27,Slovakia,phone,Chrome Mobile 74.0.3729,Android,1,
144,00000000,2020-02-17 10:12:25,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,
145,00000000,2020-02-17 10:16:30,Slovakia,desktop,Opera 66.0.3515,Windows 8.1,2,
146,00000000,2020-02-17 10:40:00,Slovakia,phone,Chrome Mobile 80.0.3987,Android,2,Dakujem
147,00000000,2020-02-17 11:17:49,Slovakia,desktop,Chrome 79.0.3945,Windows 7,5,
148,00000000,2020-02-17 11:39:48,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Zrozumitelny eshop 
149,00000000,2020-02-17 12:24:24,Slovakia,desktop,Chrome 79.0.3945,Windows 10,4,
150,00000000,2020-02-17 13:03:21,Slovakia,desktop,Firefox 72.0,Windows 10,5,Je to veľmi jednoduché 
151,053ec824,2020-02-17 13:51:14,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,2,"Nebolo nikde napísané , ako si môžem získat druhý telefón."
152,00000000,2020-02-17 15:25:13,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
153,00000000,2020-02-17 15:27:55,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
154,00000000,2020-02-17 15:33:20,Slovakia,phone,Chrome Mobile 80.0.3987,Android,4,
155,00000000,2020-02-17 17:53:08,Slovakia,desktop,Firefox 72.0,Windows 10,1,lebo
156,00000000,2020-02-17 17:59:24,Slovakia,phone,Facebook 257.0.0,Android 7.0,1,
157,00000000,2020-02-17 18:42:01,Slovakia,phone,Chrome Mobile 74.0.3729,Android,1,"Prehlad vyborny, popis, vsetko zrozumitelne"
158,00000000,2020-02-17 18:54:46,Slovakia,phone,Mobile Safari 13.0.4,iOS 13.3,1,"jednoduchost, rychlost objednavania"
159,00000000,2020-02-17 19:10:11,Slovakia,phone,Samsung Internet 10.2,Android 6.0.1,1,
160,00000000,2020-02-17 20:03:43,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
161,00000000,2020-02-17 20:37:53,Slovakia,phone,Mobile Safari 13.0.1,iOS 13.1.2,1,"Prehladna stranka, dobre spracovanie udajov."
162,00000000,2020-02-17 20:53:16,Slovakia,desktop,Chrome 80.0.3987,Mac OS X 10.15.2,3,"Pri nastaveni sposobu dorucenia a platby ma system najprv nechcel pustit dalej a uviedol chybu ""Nespravny sposob platby"", nebolo mi jasne kde je problem, pretoze nikde nebol vysvetlujuci text. Potom som skusila preklikat rozne nastavenia a neskor sa mi podarilo dostat dalej."
163,00000000,2020-02-17 21:46:53,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
164,00000000,2020-02-17 22:18:38,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,5,
165,00000000,2020-02-17 22:21:48,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,
166,00000000,2020-02-18 00:14:29,Slovakia,phone,Mobile Safari 13.0.4,iOS 13.3,1,Máte to urobené jednoducho 
167,00000000,2020-02-18 06:41:49,Slovakia,phone,Chrome Mobile 80.0.3987,Android,2,
168,00000000,2020-02-18 06:50:23,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
169,00000000,2020-02-18 10:35:35,Slovakia,desktop,Safari 13.0.2,Mac OS X 10.14.6,1,Všetko bolo prehľadné
170,00000000,2020-02-18 11:04:38,Slovakia,desktop,Firefox 72.0,Windows 7,1,
171,00000000,2020-02-18 11:17:22,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,
172,00000000,2020-02-18 11:32:45,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Jednoduche objednavanie cez e-shop
173,00000000,2020-02-18 11:33:30,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,2,pretože som mala problém pri možnosť voľby doručenia - kurier sa mi nedalo odkliknut a predajnu v SNV mi nedalo na výber
174,00000000,2020-02-18 11:43:22,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
175,00000000,2020-02-18 12:47:22,Germany,desktop,Chrome 80.0.3987,Windows 10,1,
176,00000000,2020-02-18 14:08:48,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
177,00000000,2020-02-18 14:36:12,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
178,00000000,2020-02-18 15:02:47,Slovakia,desktop,Firefox 73.0,Windows 7,3,
179,00000000,2020-02-18 16:02:49,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
180,00000000,2020-02-18 16:41:27,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,4,Začiatočníka 
181,00000000,2020-02-18 17:22:05,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,lebo
182,00000000,2020-02-18 19:18:45,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
183,00000000,2020-02-18 23:55:35,Slovakia,phone,Chrome Mobile 74.0.3729,Android,5,Lebo stemi ponukli telefon na splatky a nesklamem vas dakujem
184,00000000,2020-02-19 06:46:21,Slovakia,desktop,Firefox 73.0,Ubuntu,1,
185,00000000,2020-02-19 08:22:53,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Všetko sa dá jednoducho objednať 
186,00000000,2020-02-19 09:15:42,Hungary,desktop,Chrome 79.0.3945,Windows 10,1,
187,00000000,2020-02-19 10:01:06,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
188,00000000,2020-02-19 12:01:37,Hungary,desktop,Firefox 72.0,Windows 10,4,
189,00000000,2020-02-19 12:58:04,Slovakia,phone,Samsung Internet 10.2,Android,1,Samé plusy ľahko sa nakupuje :) 
190,00000000,2020-02-19 13:06:15,Slovakia,desktop,Chrome 79.0.3945,Windows 7,3,
191,00000000,2020-02-19 13:27:13,Slovakia,tablet,Facebook 257.0.0,Android 7.1.1,5,
192,00000000,2020-02-19 15:11:40,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,Je to tu jednoduché a prehľadné 
193,00000000,2020-02-19 15:29:11,Slovakia,tablet,Chrome 80.0.3987,Android 6.0,5,
194,00000000,2020-02-19 15:43:09,Slovakia,phone,Mobile Safari 13.0.4,iOS 13.3,1,
195,00000000,2020-02-19 17:18:22,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
196,00000000,2020-02-19 17:29:48,Slovakia,desktop,Firefox 72.0,Windows 10,1,
197,00000000,2020-02-19 18:17:02,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
198,00000000,2020-02-19 18:52:13,Slovakia,desktop,Firefox 73.0,Windows 10,1,"prehľadné, zrozumiteľné
"
199,00000000,2020-02-19 20:21:50,Slovakia,desktop,Chrome 76.0.3809,Windows 8.1,2,
200,00000000,2020-02-19 20:26:55,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
201,00000000,2020-02-19 21:11:28,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,intuitivna navigacia
202,00000000,2020-02-19 21:28:02,Slovakia,desktop,Edge 18.18363,Windows 10,1,
203,00000000,2020-02-19 23:52:14,Slovakia,phone,Chrome Mobile 71.0.3578,Android 4.3,1,
204,00000000,2020-02-20 03:51:18,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
205,00000000,2020-02-20 05:32:25,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,5,Super. Rychly.
206,00000000,2020-02-20 06:43:47,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Prehľadné 
207,00000000,2020-02-20 07:26:11,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,"Včera mi nešlo vyhotoviť objednávku, hlásilo chybu."
208,00000000,2020-02-20 08:39:06,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,"Jasné,stručné,zrozumiteľné."
209,00000000,2020-02-20 09:18:32,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,"Vcelku intuitívne. Chýba mi však potvrdenie, že súčasťou dodávky bude aj druhý telefón Samsung Galaxy A20e v zmysle ponuky."
210,00000000,2020-02-20 09:21:26,Slovakia,tablet,Chrome 64.0.3282,Android 7.1.1,2,"Neslo mi to lahko, ale velmi mi pomohla Vasa infolinka, s ktorou som pocas objednavky telefonovala."
211,00000000,2020-02-20 09:30:59,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
212,00000000,2020-02-20 09:52:19,Slovakia,desktop,Firefox 73.0,Windows 10,1,
213,00000000,2020-02-20 11:13:25,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Nákup on line je jednoduchý 
214,00000000,2020-02-20 11:23:03,Slovakia,tablet,Mobile Safari 13.0.5,iOS 13.3.1,1,
215,00000000,2020-02-20 11:42:38,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
216,00000000,2020-02-20 11:45:46,Slovakia,desktop,Chrome 79.0.3945,Windows 10,3,"Objednávam S A71 v akcii spolu s S A20 za 1 euro. V sumáre objednávky mám uvedený len A71, teda neviem, či A20 sa pridáva automaticky, alebo som urobil objednávku nesprávne. Ďakujem."
217,00000000,2020-02-20 12:17:40,Slovakia,desktop,Firefox 72.0,Windows 10,3,
218,00000000,2020-02-20 13:29:21,Slovakia,phone,Facebook 253.0.0,Android 6.0.1,5,Dobrí požiadala som si o mobil pausal
219,00000000,2020-02-20 13:37:21,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
220,00000000,2020-02-20 14:59:21,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,Všetko zrozumiteľne napísané
221,00000000,2020-02-20 15:00:35,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
222,00000000,2020-02-20 16:39:15,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.1.1,5,
223,00000000,2020-02-20 17:00:25,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,
224,00000000,2020-02-20 17:39:04,Slovakia,desktop,Firefox 73.0,Windows 10,1,
225,00000000,2020-02-20 18:23:55,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
226,00000000,2020-02-20 18:42:36,Slovakia,phone,Chrome Mobile 78.0.3904,Android 8.0.0,1,Prehľadné 
227,00000000,2020-02-20 19:22:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,4,Prvá objednávka cez mobil 
228,00000000,2020-02-20 19:33:53,Slovakia,desktop,Firefox 72.0,Mac OS X 10.14,1,
229,00000000,2020-02-20 20:04:04,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15.3,2,chýbal mi lepší popis telefónu
230,00000000,2020-02-20 20:28:15,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,
231,00000000,2020-02-20 20:31:11,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
232,00000000,2020-02-20 22:16:30,Slovakia,desktop,Firefox 73.0,Windows 10,2,
233,00000000,2020-02-21 08:51:03,Slovakia,phone,Chrome Mobile 80.0.3987,Android,2,
234,00000000,2020-02-21 10:31:55,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
235,00000000,2020-02-21 10:40:42,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,2,"Trošku bol problém nájsť to,co som hladala.Ale nakoniec sa našlo a samotná objednávka už sa vytvárala chytro :-) Ďakujem."
236,00000000,2020-02-21 10:51:36,Slovakia,desktop,Opera 66.0.3515,Windows 10,2,
237,00000000,2020-02-21 11:12:33,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
238,00000000,2020-02-21 11:19:02,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
239,00000000,2020-02-21 11:58:14,Slovakia,desktop,IE 11.0,Windows 10,1,Nikam som nemusel chodiť a vybavil som všetko online.
240,00000000,2020-02-21 12:01:03,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
