Number,User,Date Submitted,Country,Device,Browser,OS,"Prosím, pomôžte nám zlepšiť naše služby. Ako náročné bolo pre vás nakupovať cez Orange Eshop na škále 1-5?","Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
241,00000000,2020-02-21 12:01:24,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
242,00000000,2020-02-21 12:06:18,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
243,00000000,2020-02-21 13:09:35,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,5,
244,00000000,2020-02-21 13:26:04,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Lebo mi to vihovuje m
245,00000000,2020-02-21 13:48:12,Slovakia,desktop,Edge 18.17763,Windows 10,1,..
246,00000000,2020-02-21 14:38:21,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
247,00000000,2020-02-21 14:47:03,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,5,
248,00000000,2020-02-21 15:46:07,Slovakia,phone,Facebook 257.0.0,Android 7.1.1,1,
249,00000000,2020-02-21 15:55:47,Slovakia,desktop,Chrome 81.0.4041,Windows 10,4,"vela roznych kombinacii na vyber
preco sa pytate na suhlas s poskytovanim dat tretim stranam? preco by zakaznik mal mat o to zaujem?"
250,00000000,2020-02-21 16:09:38,Slovakia,phone,Chrome Mobile 80.0.3987,Android,2,A
251,00000000,2020-02-21 16:10:53,Slovakia,desktop,Chrome 79.0.3945,Windows 8,2,
252,00000000,2020-02-21 16:36:54,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
253,00000000,2020-02-21 17:24:44,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,
254,00000000,2020-02-21 18:33:14,Slovakia,desktop,Firefox 73.0,Windows 10,1,Som spokojný. Uživateľsky priateľská stránka.
255,00000000,2020-02-21 19:12:23,Slovakia,desktop,Edge 17.17134,Windows 10,1,
256,00000000,2020-02-21 19:15:23,Slovakia,desktop,Edge 18.18362,Windows 10,1,úplne jednoduché všetko je prehľadné tak že pre každého kto vie čítať a ovláda základy PC to náročné nebude.
257,00000000,2020-02-21 19:27:47,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,
258,00000000,2020-02-22 10:45:45,Slovakia,desktop,Safari 13.0.3,Mac OS X 10.15.1,1,
259,00000000,2020-02-22 12:36:14,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
260,00000000,2020-02-22 12:43:09,Slovakia,phone,Chrome Mobile 80.0.3987,Android 5.1.1,1,Stranka je jednoducha a prehladna
261,00000000,2020-02-22 13:29:42,Slovakia,phone,Facebook 257.0.0,Android,1,
262,00000000,2020-02-22 14:11:50,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,Veľmi Dobré Ponuky Máte :-)
263,00000000,2020-02-22 15:04:24,Slovakia,phone,Chrome Mobile 78.0.3904,Android 4.4.2,1,Je to super lebo mozem pohodline z domova objednat a setri vela casu.Dakujem
264,00000000,2020-02-22 15:10:32,Slovakia,tablet,Chrome Mobile iOS 80.0.3987,iOS 13.3,3,Aj ked som si. vybral pracovat s konkretnym cislom v eshope som bol spat na defaultnom. chyba moznost zakupit zariadenie bez pausalu.
265,00000000,2020-02-22 16:35:35,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,Objednávka je z pohodlia domova a zo zľavami.
266,00000000,2020-02-22 17:24:36,Slovakia,desktop,Firefox 73.0,Windows 10,1,
267,00000000,2020-02-22 18:47:24,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0,1,
268,00000000,2020-02-22 19:19:52,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,Všetko super
269,00000000,2020-02-22 19:22:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,
270,00000000,2020-02-22 20:51:47,Slovakia,phone,Facebook 258.0.0,Android,1,Je to veľ. I jednoduché a pohodlné rovno z domova 
271,00000000,2020-02-22 21:58:30,Slovakia,phone,Chrome Mobile 72.0.3626,Android,1,Chcem byť Orange zákazník
272,00000000,2020-02-22 22:08:58,Slovakia,desktop,Edge 18.17763,Windows 10,1,Formulár je zrozumiteľný a intuitívny
273,00000000,2020-02-23 00:09:33,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,
274,00000000,2020-02-23 01:43:53,Slovakia,phone,Facebook 258.0.0,Android,5,Prakticke pohodlne nakupovanie
275,00000000,2020-02-23 06:49:45,Slovakia,phone,Facebook 258.0.0,Android 8.0.0,1,Jednoduché vyplnenie
276,00000000,2020-02-23 09:49:31,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,Bez problémov
277,00000000,2020-02-23 11:40:52,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
278,00000000,2020-02-23 11:57:36,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,Prehľadnosť..
279,00000000,2020-02-23 12:45:22,Slovakia,desktop,Firefox 72.0,Windows 7,2,n
280,00000000,2020-02-23 12:54:40,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
281,00000000,2020-02-23 13:21:27,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
282,00000000,2020-02-23 13:40:45,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,Mohli by byť uložené údaje 
283,00000000,2020-02-23 14:02:09,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
284,00000000,2020-02-23 14:06:21,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,šetrí to čas
285,00000000,2020-02-23 14:28:23,Slovakia,phone,Facebook 258.0.0,Android,1,
286,00000000,2020-02-23 14:42:12,Slovakia,phone,Chrome Mobile 79.0.3945,Android 6.0,2,
287,00000000,2020-02-23 15:14:00,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
288,00000000,2020-02-23 15:26:39,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,
289,00000000,2020-02-23 15:27:54,Slovakia,phone,Facebook 258.0.0,Android 7.0,3,
290,00000000,2020-02-23 15:34:17,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
291,00000000,2020-02-23 15:36:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,Lebo Orange služba je najlepšia 
292,00000000,2020-02-23 16:07:37,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
293,00000000,2020-02-23 16:21:51,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
294,00000000,2020-02-23 16:24:37,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,chýbaju vysvetlivky
295,00000000,2020-02-23 17:05:11,Slovakia,phone,Chrome Mobile 79.0.3945,Android 7.0,1,Ste super
296,00000000,2020-02-23 17:27:16,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,Skvelá spoločnosť
297,00000000,2020-02-23 17:39:23,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
298,00000000,2020-02-23 17:45:03,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
299,00000000,2020-02-23 18:03:43,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,Dobrý výber ajednouchý
300,00000000,2020-02-23 19:43:32,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,Keď bol prenos čísla mohlo by to hneď naviesť na paušály
301,00000000,2020-02-23 20:01:32,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,S pohodlia domova
302,00000000,2020-02-23 21:00:13,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,
303,00000000,2020-02-23 21:17:24,Slovakia,desktop,Firefox 73.0,Windows 10,1,
304,00000000,2020-02-23 21:41:50,Slovakia,desktop,Firefox 73.0,Windows 10,1,
305,00000000,2020-02-23 22:19:24,Slovakia,phone,Chrome Mobile 80.0.3987,Android,2,
306,00000000,2020-02-23 23:10:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
307,00000000,2020-02-24 01:42:00,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Je to super
308,00000000,2020-02-24 02:20:29,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,2,
309,00000000,2020-02-24 08:06:25,Slovakia,desktop,Firefox 73.0,Windows 10,2,
310,00000000,2020-02-24 08:13:42,Slovakia,desktop,Firefox 73.0,Windows 10,1,"prehľadnosť, jednoduchosť, rýchlosť
"
311,00000000,2020-02-24 08:54:17,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
312,00000000,2020-02-24 08:55:23,Slovakia,desktop,Edge 18.17763,Windows 10,1,
313,00000000,2020-02-24 09:07:24,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,
314,00000000,2020-02-24 10:01:05,Slovakia,desktop,Firefox 68.0,Windows 10,1,
315,00000000,2020-02-24 10:18:03,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,1,"Krásne ovládanie jednoduchá objednávka
"
316,00000000,2020-02-24 10:38:02,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
317,00000000,2020-02-24 10:45:32,Slovakia,phone,Facebook 258.0.0,Android,5,
318,00000000,2020-02-24 10:57:27,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,"Prehľadné, jednoduché.... "
319,00000000,2020-02-24 11:06:02,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,.
320,00000000,2020-02-24 13:54:09,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,2,
321,00000000,2020-02-24 14:00:41,United States,desktop,Chrome 79.0.3945,Windows 7,1,"vsetko prehladne jasne, krok po kroku"
322,00000000,2020-02-24 16:38:32,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,
323,00000000,2020-02-24 16:38:56,Slovakia,tablet,Chrome 80.0.3987,Android 6.0,4,Nemám skúsenosti s využívaním internet u.
324,00000000,2020-02-24 18:01:06,Slovakia,desktop,Firefox 72.0,Windows 10,1,Bolo to jednoduché a prehladné.
325,00000000,2020-02-24 19:00:53,Czechia,desktop,Chrome 79.0.3945,Windows 10,5,Rýchlosť dodania
326,00000000,2020-02-24 19:20:32,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,nič zložité
327,00000000,2020-02-24 20:01:22,Slovakia,desktop,Safari 12.1.1,Mac OS X 10.14.5,1,
328,00000000,2020-02-24 21:02:02,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,"Prehľadný obsah, jasná a jednoduchá navigacia"
329,00000000,2020-02-24 22:30:56,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,1,
330,00000000,2020-02-25 08:32:00,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,
331,00000000,2020-02-25 08:34:37,Slovakia,phone,Chrome Mobile 80.0.3987,Android 5.1,1,Bol som spokojni
332,00000000,2020-02-25 09:03:50,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,
333,00000000,2020-02-25 09:06:21,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
334,00000000,2020-02-25 10:46:42,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,"jednoduche prehladne
"
335,00000000,2020-02-25 11:58:19,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
336,00000000,2020-02-25 12:03:21,Slovakia,desktop,Firefox 73.0,Windows 7,1,
337,00000000,2020-02-25 12:45:44,Slovakia,desktop,Firefox 73.0,Windows 10,1,"rýchle, prehladné prose super :)"
338,00000000,2020-02-25 13:04:58,Slovakia,desktop,Opera 66.0.3515,Windows 7,2,
339,00000000,2020-02-25 13:23:34,Slovakia,desktop,Firefox 72.0,Windows 10,1,Je to jednoduché a prehladne 
340,00000000,2020-02-25 14:04:25,Norway,desktop,Chrome 80.0.3987,Windows 10,1,
341,00000000,2020-02-25 14:13:50,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,Velmi dobre zadania a zrozumitelne.
342,00000000,2020-02-25 14:16:51,Italy,desktop,Chrome 80.0.3987,Windows 10,5,omyl
343,00000000,2020-02-25 14:53:18,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,moj orange je velmi priehladne a jednoduche
344,00000000,2020-02-25 15:54:07,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,1,Všetko zrozumiteľne
345,00000000,2020-02-25 16:22:56,Slovakia,phone,Facebook 258.0.0,Android,1,Jednoducho
346,00000000,2020-02-25 16:59:27,Slovakia,phone,Chrome Mobile 71.0.3578,Android 7.0,3,
347,00000000,2020-02-25 19:23:07,Slovakia,phone,Chrome Mobile 66.0.3359,Android 8.0.0,5,Je to veľmi komfortné 
348,00000000,2020-02-25 20:07:06,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
349,00000000,2020-02-25 20:11:12,Slovakia,desktop,Opera 66.0.3515,Windows 7,2,Celkom v pohode 
350,00000000,2020-02-25 22:53:48,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
351,00000000,2020-02-25 23:04:34,Slovakia,phone,Facebook 256.0.0,Android 5.1.1,2,.
352,00000000,2020-02-26 00:43:38,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,Bolo to jasné a prehľadné.
353,00000000,2020-02-26 09:34:23,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,Lebo
354,00000000,2020-02-26 10:03:13,Slovakia,phone,Facebook 258.0.0,Android,1,
355,00000000,2020-02-26 10:15:33,Slovakia,phone,Mobile Safari 12.1.2,iOS 12.4,1,Aspon nemusime chodi
356,00000000,2020-02-26 11:32:19,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15.3,3,
357,00000000,2020-02-26 11:53:09,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,1,
358,00000000,2020-02-26 12:18:16,France,desktop,Chrome 79.0.3945,Windows 10,1,prehľadné a jednoduché
359,00000000,2020-02-26 13:23:43,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,Máte prehľadné stránky.
360,00000000,2020-02-26 13:44:00,Slovakia,phone,Chrome Mobile 74.0.3729,Android,1,Som spokojni
361,00000000,2020-02-26 14:08:37,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
362,00000000,2020-02-26 14:08:50,Slovakia,desktop,Firefox 73.0,Windows 10,5,rychlo a prehladne
363,00000000,2020-02-26 14:47:51,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,Jednoduchá objednávka :D
364,00000000,2020-02-26 14:57:42,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.1.1,1,
365,00000000,2020-02-26 15:23:24,Slovakia,desktop,Firefox 73.0,Windows 10,1,
366,00000000,2020-02-26 15:27:24,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,
367,00000000,2020-02-26 15:32:12,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
368,00000000,2020-02-26 16:15:54,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,prehľadné stránky
369,00000000,2020-02-26 16:24:46,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,Nie je to dôležité
370,00000000,2020-02-26 16:44:03,Slovakia,phone,Chrome Mobile 79.0.3945,Android 7.0,1,Dobre
371,00000000,2020-02-26 16:52:11,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
372,00000000,2020-02-26 17:14:03,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,
373,00000000,2020-02-26 17:29:12,Slovakia,phone,Facebook 258.0.0,Android,5,Som s vami spokojna
374,00000000,2020-02-26 17:32:50,Slovakia,desktop,Firefox 73.0,Windows 7,1,"ok
"
375,00000000,2020-02-26 17:36:53,Slovakia,phone,Chrome Mobile 71.0.3578,Android,1,Nemusím nikam chodiť a rýchlo to vybavím
376,00000000,2020-02-26 18:27:40,Slovakia,tablet,Chrome 80.0.3987,Android 8.0.0,2,Lepšie vysvetlenie produktov asi osobne.
377,00000000,2020-02-26 19:28:13,Slovakia,tablet,Chrome 79.0.3945,Android 4.4.4,2,
378,00000000,2020-02-26 19:53:54,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,
379,00000000,2020-02-27 02:19:05,Slovakia,phone,Samsung Internet 10.2,Android,1,Lebo je to phodline a jednoduche zaroven setri cas a ja mam viac casu na svijich naj blisich.Ta ze DAKUJEM.
380,00000000,2020-02-27 04:28:23,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
381,00000000,2020-02-27 05:58:22,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
382,00000000,2020-02-27 07:36:11,Slovakia,desktop,Firefox 73.0,Windows 7,1,
383,00000000,2020-02-27 07:56:05,Slovakia,desktop,Chrome 80.0.3987,Windows 8,1,
384,00000000,2020-02-27 09:03:02,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,3,
385,00000000,2020-02-27 09:55:59,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,
386,00000000,2020-02-27 09:57:01,Slovakia,phone,Facebook 258.0.0,Android 5.1.1,1,Iba dopisať udaje do formulara
387,00000000,2020-02-27 11:12:09,Slovakia,desktop,IE 11.0,Windows 7,1,
388,00000000,2020-02-27 12:26:54,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,všetko je prehľadné a dobre vysvetlené 
389,00000000,2020-02-27 13:06:10,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,"prehladne, je to ok"
390,00000000,2020-02-27 15:30:26,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
391,00000000,2020-02-27 15:41:52,Slovakia,desktop,Firefox 72.0,Windows 10,4,
392,00000000,2020-02-27 15:52:57,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,
393,00000000,2020-02-27 16:05:54,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,2,
394,00000000,2020-02-27 16:17:03,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,2,"Pri mobilnej verzii prehliadača bola manipulácia na stránke zložitá a nešikovná, hlavne pri zdĺhavom vypĺňaní údajov. Radšej som prešla na PC. :) "
395,00000000,2020-02-27 17:11:28,Slovakia,desktop,IE 11.0,Windows 7,1,"bolo to jednoduche  si objednať služby s telefonom ,po spravnom vyplneni ma to zaviedlo k dalšiemu kroku k uspešne dokončenej objednavke"
396,00000000,2020-02-27 18:30:04,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
397,00000000,2020-02-27 19:15:35,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,gsdgs
398,00000000,2020-02-27 19:43:30,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
399,00000000,2020-02-27 19:43:57,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,ok
400,00000000,2020-02-27 19:48:12,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
401,00000000,2020-02-27 21:46:46,Slovakia,desktop,Safari 13.0.2,Mac OS X 10.13.6,2,
402,00000000,2020-02-28 01:53:57,Slovakia,tablet,Chrome 80.0.3987,Android 7.0,1,Nebolo to ťažké
403,00000000,2020-02-28 08:09:17,Slovakia,desktop,Chrome 79.0.3945,Windows 8,1,
404,00000000,2020-02-28 08:18:42,Slovakia,phone,Chrome Mobile WebView 80.0.3987,Android 8.1.0,1,
405,00000000,2020-02-28 08:55:27,Germany,desktop,Chrome 80.0.3987,Windows 10,1, N
406,00000000,2020-02-28 09:00:06,Slovakia,tablet,Chrome 80.0.3987,Android 7.1.1,1,Jednoduchá aplikácia
407,00000000,2020-02-28 09:53:12,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
408,00000000,2020-02-28 10:03:04,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,1,Prehľadnosť 
409,00000000,2020-02-28 10:55:21,Slovakia,desktop,IE 11.0,Windows 7,1,
410,00000000,2020-02-28 10:59:14,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,3,
411,00000000,2020-02-28 10:59:27,Slovakia,desktop,Opera 66.0.3515,Windows 8.1,4,
412,00000000,2020-02-28 10:59:59,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,
413,00000000,2020-02-28 11:56:43,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
414,00000000,2020-02-28 12:09:29,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
415,00000000,2020-02-28 13:43:23,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
416,00000000,2020-02-28 14:20:49,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,1,
417,00000000,2020-02-28 14:27:38,Austria,phone,Facebook 259.0.0,Android,3,Tak som v práci
418,00000000,2020-02-28 14:32:49,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
419,00000000,2020-02-28 15:47:30,Slovakia,desktop,Firefox 73.0,Windows 7,2,"nemala som istotu, ze sa moj nakup vztahuje na prave prebiehajucu akciu
"
420,00000000,2020-02-28 16:04:20,Slovakia,phone,Chrome Mobile 79.0.3945,Android 7.0,1,"V pohodlí domova, bez čakania na predajni. "
421,00000000,2020-02-28 16:04:55,Slovakia,phone,Facebook 258.0.0,Android,1,"Jednoduché,krok po kroku "
422,00000000,2020-02-28 16:21:06,Slovakia,phone,Mobile Safari 12.1.2,iOS 12.4.5,2,
423,00000000,2020-02-28 16:38:13,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
424,00000000,2020-02-28 16:49:42,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,
425,00000000,2020-02-28 17:26:56,Slovakia,tablet,Chrome 80.0.3987,Android 6.0,1,
426,00000000,2020-02-28 18:36:15,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,zrozumiteľnosť celého procesu.
427,00000000,2020-02-28 18:40:50,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
428,00000000,2020-02-28 19:34:26,Slovakia,phone,Samsung Internet 10.2,Android,1,
429,00000000,2020-02-28 19:37:54,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,1,Transparentne
430,00000000,2020-02-28 19:39:39,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,"Jednoduche, dalo sa to zvladnut."
431,00000000,2020-02-28 19:47:37,Slovakia,desktop,Firefox 72.0,Windows 10,2,
432,00000000,2020-02-29 07:17:52,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
433,00000000,2020-02-29 07:23:51,Slovakia,phone,Chrome Mobile 50.0.2661,Android 6.0,5,
434,00000000,2020-02-29 08:09:40,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,"súšala som to cez android, ale nepodarilo sa mi ro"
435,00000000,2020-02-29 09:25:36,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
436,00000000,2020-02-29 09:50:15,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
437,00000000,2020-02-29 11:46:32,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,lebo to bolo jednoduché
438,00000000,2020-02-29 12:00:21,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,Ste dobré
439,00000000,2020-02-29 13:07:59,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,ta tak
440,00000000,2020-02-29 13:09:11,Slovakia,desktop,Chrome 80.0.3987,Windows 7,5,
441,00000000,2020-02-29 13:14:45,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
442,00000000,2020-02-29 13:38:40,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,Leno vsetko bolo strucne a zrozumitelne 
443,00000000,2020-02-29 15:12:07,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
444,00000000,2020-02-29 15:42:53,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Preto ze je všetko ros písané 
445,00000000,2020-02-29 15:49:46,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,pokyny jasné a prehľadné
446,00000000,2020-02-29 16:13:10,Slovakia,phone,Chrome Mobile 69.0.3497,Android 8.0.0,1,
447,00000000,2020-02-29 16:59:21,Slovakia,phone,Chrome Mobile 80.0.3987,Android 4.4.4,1,Jasne a presne.
448,00000000,2020-02-29 17:36:07,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,Nič
449,00000000,2020-02-29 17:43:13,Slovakia,desktop,Edge 18.18362,Windows 10,2,
450,00000000,2020-02-29 17:54:03,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
451,00000000,2020-02-29 18:00:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0,1,Mám málo času
452,00000000,2020-02-29 18:53:19,Slovakia,desktop,Firefox 73.0,Windows 10,1,jednoduche zrozumitelne preklikanie celou objednavkou
453,00000000,2020-02-29 19:31:06,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
454,00000000,2020-02-29 20:58:58,Slovakia,phone,Samsung Internet 4.0,Android 6.0.1,1,
455,00000000,2020-02-29 21:07:19,Slovakia,tablet,Chrome 51.0.2704,Android 4.4.2,5,
456,00000000,2020-02-29 21:34:50,Slovakia,phone,Chrome Mobile 78.0.3904,Android 5.1.1,3,
457,00000000,2020-02-29 21:44:53,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1, 
458,00000000,2020-02-29 22:43:36,Slovakia,desktop,Firefox 73.0,Windows 10,1,
459,00000000,2020-03-01 05:43:27,Slovakia,desktop,Firefox 73.0,Windows 7,5,
460,00000000,2020-03-01 07:44:47,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,"Som dôchodca bez väčších znalostí s internetom, vždy sa zľaknem či som stlačil a potvrdil všetko správne ako som potreboval"
461,00000000,2020-03-01 08:24:22,Slovakia,phone,Chrome Mobile 79.0.3945,Android 4.4.2,1,
462,00000000,2020-03-01 08:42:35,Slovakia,desktop,Chrome 80.0.3987,Windows 8,1,prehľadnosť
463,00000000,2020-03-01 09:08:02,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
464,00000000,2020-03-01 09:39:30,Slovakia,desktop,Opera 66.0.3515,Windows 10,1,
465,00000000,2020-03-01 10:03:35,Slovakia,phone,Chrome Mobile 80.0.3987,Android 4.4.2,1,
466,00000000,2020-03-01 11:06:05,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15.3,1,
467,00000000,2020-03-01 12:17:26,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,1,Bežne nakupujem cez internet
468,00000000,2020-03-01 12:28:25,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4, treba zjednodušiť orientáciu 
469,00000000,2020-03-01 12:34:12,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
470,00000000,2020-03-01 13:44:32,Czechia,desktop,Chrome 79.0.3945,Windows 7,2,
471,00000000,2020-03-01 13:58:51,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,viac vyod pre stakych zakaznikov
472,00000000,2020-03-01 14:00:58,Finland,desktop,Chrome 80.0.3987,Windows 10,1,
473,00000000,2020-03-01 14:09:19,Slovakia,desktop,Chrome 79.0.3945,Windows 10,3,
474,00000000,2020-03-01 14:10:01,Slovakia,phone,Samsung Internet 11.1,Android 7.0,2,Stranka je prehladna a jej obsah zrozumitelny.
475,00000000,2020-03-01 15:17:22,Slovakia,desktop,Chrome 80.0.3987,Windows 7,5,
476,00000000,2020-03-01 15:41:54,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
477,00000000,2020-03-01 16:48:39,Slovakia,phone,Facebook 259.0.0,Android,5,Spokojenost 
478,00000000,2020-03-01 17:26:19,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,1,Uplne jednoduche
479,00000000,2020-03-01 17:31:24,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,-
480,00000000,2020-03-01 17:38:55,Slovakia,phone,Facebook 259.0.0,Android,1,
481,00000000,2020-03-01 18:03:44,Slovakia,phone,Chrome Mobile 71.0.3578,Android,1,.
482,00000000,2020-03-01 22:58:13,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,
