Moisture,Soil_temp,EC,time
22001932.0,22.06,3604490.0,2020-10-09 12:36:48
22001683.0,22.06,3604497.0,2020-10-09 12:37:00
22002823.0,22.06,3604722.0,2020-10-09 12:37:11
22002865.0,22.06,3604579.0,2020-10-09 12:37:23
22001982.0,22.06,3604667.0,2020-10-09 12:37:35
22002448.0,22.06,3604551.0,2020-10-09 12:38:22
22002781.0,22.0,3604606.0,2020-10-09 12:38:35
22003123.0,22.06,3604661.0,2020-10-09 12:38:47
22001932.0,22.06,3604551.0,2020-10-09 12:39:10
22002232.0,22.06,3604449.0,2020-10-09 12:39:21
22002615.0,22.06,3604558.0,2020-10-09 12:39:32
22002781.0,22.06,3604702.0,2020-10-09 12:39:45
22002740.0,22.06,3604599.0,2020-10-09 12:39:57
22001766.0,22.06,3604551.0,2020-10-09 12:40:09
22002490.0,22.06,3604626.0,2020-10-09 12:40:21
22002915.0,22.06,3604667.0,2020-10-09 12:40:32
22002107.0,22.0,3604490.0,2020-10-09 12:40:56
22001974.0,22.06,3604517.0,2020-10-09 12:41:09
22003123.0,22.06,3604811.0,2020-10-09 12:41:20
22001849.0,22.06,3604558.0,2020-10-09 12:41:31
22002149.0,22.06,3604517.0,2020-10-09 12:41:42
22002781.0,22.0,3604688.0,2020-10-09 12:41:54
22002573.0,22.06,3604695.0,2020-10-09 12:42:06
22002573.0,22.06,3604626.0,2020-10-09 12:42:17
22001000.0,22.06,3604422.0,2020-10-09 12:42:29
22002398.0,22.0,3604599.0,2020-10-09 12:42:41
22002398.0,22.06,3604456.0,2020-10-09 12:42:52
22002615.0,22.06,3604674.0,2020-10-09 12:43:05
22002490.0,22.0,3604661.0,2020-10-09 12:43:17
22002532.0,22.06,3604586.0,2020-10-09 12:43:29
22002407.0,22.06,3604572.0,2020-10-09 12:43:40
22001724.0,22.06,3604579.0,2020-10-09 12:43:53
22001341.0,22.06,3604531.0,2020-10-09 12:44:05
22001982.0,22.06,3604545.0,2020-10-09 12:44:17
22001683.0,22.06,3604517.0,2020-10-09 12:44:29
22002274.0,22.0,3604408.0,2020-10-09 12:44:41
22002398.0,22.06,3604483.0,2020-10-09 12:44:53
22002190.0,22.0,3604572.0,2020-10-09 12:45:04
22002232.0,22.06,3604565.0,2020-10-09 12:45:16
22002398.0,22.06,3604565.0,2020-10-09 12:45:28
22001300.0,22.0,3604470.0,2020-10-09 12:45:40
22002781.0,22.06,3604654.0,2020-10-09 12:45:53
22001591.0,22.06,3604538.0,2020-10-09 12:46:05
22002532.0,22.06,3604722.0,2020-10-09 12:46:17
22003289.0,22.06,3604729.0,2020-10-09 12:46:29
22001849.0,22.06,3604524.0,2020-10-09 12:46:40
22002656.0,22.0,3604579.0,2020-10-09 12:46:52
22002781.0,22.06,3604586.0,2020-10-09 12:47:04
22002357.0,197.18,3604586.0,2020-10-09 12:47:15
22002107.0,101.5,3604470.0,2020-10-09 12:47:26
22002190.0,47.43,3604545.0,2020-10-09 12:47:39
22002740.0,127.93,3604620.0,2020-10-09 12:47:51
22002065.0,127.93,3604586.0,2020-10-09 12:48:04
22002357.0,127.93,3604545.0,2020-10-09 12:48:16
22002149.0,22.62,3604504.0,2020-10-09 12:48:27
22001466.0,11.0,3604449.0,2020-10-09 12:48:39
22001641.0,23.06,3604545.0,2020-10-09 12:48:51
22002190.0,247.0,3604558.0,2020-10-09 12:49:03
22002149.0,107.25,3604592.0,2020-10-09 12:49:14
22002532.0,21.75,3604695.0,2020-10-09 12:49:25
22002232.0,22.18,3604592.0,2020-10-09 12:49:49
22001258.0,22.31,3604504.0,2020-10-09 12:50:01
22002448.0,21.81,3604722.0,2020-10-09 12:50:13
22002698.0,21.68,3604606.0,2020-10-09 12:50:24
22002107.0,22.37,3604599.0,2020-10-09 12:50:36
22002698.0,21.93,3604586.0,2020-10-09 12:50:48
22002232.0,21.81,3604579.0,2020-10-09 12:51:01
22001766.0,21.81,3604517.0,2020-10-09 12:51:12
22001466.0,21.81,3604476.0,2020-10-09 12:51:23
22002781.0,21.62,3604647.0,2020-10-09 12:51:35
22002398.0,21.81,3604476.0,2020-10-09 12:51:46
22001641.0,21.87,3604531.0,2020-10-09 12:51:58
22001683.0,21.68,3604483.0,2020-10-09 12:52:11
22002190.0,21.0,3604517.0,2020-10-09 12:52:22
22002573.0,21.68,3604586.0,2020-10-09 12:52:33
22002232.0,20.68,3604592.0,2020-10-09 12:52:46
22002781.0,21.93,3604613.0,2020-10-09 12:52:58
22002532.0,22.37,3604661.0,2020-10-09 12:53:10
22002740.0,21.62,3604613.0,2020-10-09 12:53:22
22003456.0,21.25,3604695.0,2020-10-09 12:53:35
22003339.0,21.62,3604708.0,2020-10-09 12:53:47
22002865.0,21.62,3604736.0,2020-10-09 12:53:58
22002956.0,21.62,3604715.0,2020-10-09 12:54:10
22003206.0,21.68,3604862.0,2020-10-09 12:54:22
22002357.0,21.93,3604538.0,2020-10-09 12:54:34
22002823.0,21.56,3604715.0,2020-10-09 12:54:46
22002190.0,21.81,3604531.0,2020-10-09 12:54:58
22002398.0,21.31,3604531.0,2020-10-09 12:55:10
22002149.0,21.5,3604599.0,2020-10-09 12:55:23
22002956.0,21.25,3604729.0,2020-10-09 12:55:34
22002274.0,21.75,3604695.0,2020-10-09 12:55:45
22002490.0,21.0,3604647.0,2020-10-09 12:55:56
22002490.0,22.06,3604558.0,2020-10-09 12:56:08
22003156.0,20.5,3604749.0,2020-10-09 12:56:20
22002656.0,13.31,3604729.0,2020-10-09 12:56:32
22002315.0,21.06,3604545.0,2020-10-09 12:56:44
22002232.0,21.25,3604695.0,2020-10-09 12:56:55
22002274.0,19.37,3604586.0,2020-10-09 12:57:07
22001599.0,20.81,3604511.0,2020-10-09 12:57:20
22002490.0,21.06,3604695.0,2020-10-09 12:57:32
22003422.0,16.68,3604729.0,2020-10-09 12:57:44
22002190.0,20.93,3604661.0,2020-10-09 12:57:56
22002532.0,20.62,3604674.0,2020-10-09 12:58:07
22001849.0,21.31,3604483.0,2020-10-09 12:58:18
22002065.0,1.5,3604661.0,2020-10-09 12:58:30
22002274.0,20.12,3604531.0,2020-10-09 12:58:41
22001807.0,11.93,3604572.0,2020-10-09 12:58:52
22001932.0,21.81,3604531.0,2020-10-09 12:59:16
22001891.0,21.87,3604511.0,2020-10-09 12:59:28
22002615.0,21.25,3604702.0,2020-10-09 12:59:41
22002448.0,19.81,3604613.0,2020-10-09 12:59:53
22001891.0,21.0,3604558.0,2020-10-09 13:00:05
22001508.0,21.87,3604476.0,2020-10-09 13:00:17
22002149.0,21.75,3604497.0,2020-10-09 13:00:30
22002057.0,21.62,3604572.0,2020-10-09 13:00:42
22001766.0,21.31,3604524.0,2020-10-09 13:00:54
22002274.0,21.56,3604715.0,2020-10-09 13:01:05
22002107.0,20.87,3604688.0,2020-10-09 13:01:17
22002274.0,21.25,3604599.0,2020-10-09 13:01:29
22002190.0,21.62,3604606.0,2020-10-09 13:01:41
22003123.0,21.5,3604811.0,2020-10-09 13:01:54
22002956.0,21.87,3604848.0,2020-10-09 13:02:06
22002698.0,21.81,3604633.0,2020-10-09 13:02:31
22002740.0,22.0,3604640.0,2020-10-09 13:02:43
22002615.0,21.62,3604572.0,2020-10-09 13:02:54
22002398.0,21.56,3604708.0,2020-10-09 13:03:06
22002190.0,21.87,3604511.0,2020-10-09 13:03:18
22001932.0,21.62,3604551.0,2020-10-09 13:03:29
22002149.0,21.37,3604531.0,2020-10-09 13:03:42
22002149.0,21.37,3604572.0,2020-10-09 13:03:54
22002190.0,21.25,3604633.0,2020-10-09 13:04:07
22002357.0,21.93,3604551.0,2020-10-09 13:04:19
22002232.0,21.93,3604579.0,2020-10-09 13:04:32
22002448.0,21.93,3604715.0,2020-10-09 13:04:43
